id,company_id,title,years_of_experience,description,responsibilities,education_id,skills_requirement
360,95,Product Manager,5-7,Lead product development teams to deliver high-quality solutions.,"Define roadmaps, allocate resources, and manage timelines.",70,"[28, 29, 214, 4, 204]"
361,95,AI Researcher,4-7,Research and innovate in AI technologies.,"Publish research papers, develop algorithms, and collaborate on projects.",28,"[98, 213, 49, 33, 54]"
362,95,Data Engineer,3-5,Build and optimize data pipelines.,"Develop ETL processes, ensure data quality, and maintain databases.",34,"[57, 49, 58, 60, 56]"
363,95,Marketing Analyst,3-5,Analyze marketing data to support strategies.,"Track campaign performance, analyze KPIs, and recommend improvements.",47,"[284, 209, 55, 4, 14]"
364,96,Software Developer,3-5,Develop and maintain software applications.,"Write clean code, troubleshoot issues, and ensure system performance.",20,"[49, 96, 74, 56, 4]"
365,96,Full Stack Developer,4-6,Develop and manage full-stack applications.,"Create front-end and back-end solutions, debug issues, and optimize systems.",20,"[90, 76, 110, 49, 57]"
366,96,DevOps Engineer,4-7,Build and maintain CI/CD pipelines.,"Automate deployment processes, manage cloud systems, and ensure scalability.",8,"[61, 64, 99, 78, 56]"
367,96,Database Administrator,3-5,Manage and optimize database systems.,"Ensure data security, monitor performance, and handle migrations.",8,"[57, 79, 65, 80, 247]"
368,96,Technical Support Engineer,2-4,Provide technical assistance to clients.,"Troubleshoot issues, document solutions, and ensure customer satisfaction.",21,"[223, 4, 56, 172, 84]"
369,96,Product Manager,5-7,Oversee product development lifecycle.,"Define roadmaps, coordinate teams, and manage product releases.",18,"[28, 29, 214, 4, 68]"
370,96,UI/UX Designer,3-5,Design intuitive user interfaces and enhance user experience.,"Create wireframes, prototype designs, and collaborate with developers.",19,"[69, 70, 71, 72, 4]"
371,97,Marketing Specialist,3-5,Plan and execute marketing campaigns.,"Monitor campaign performance, analyze metrics, and optimize strategies.",80,"[209, 275, 284, 72, 4]"
372,97,Social Media Manager,2-4,Manage and grow social media presence.,"Create content, engage with followers, and run ad campaigns.",81,"[242, 72, 284, 4, 241]"
373,97,Content Writer,2-4,Create engaging content for marketing purposes.,"Write blogs, optimize content for SEO, and manage content calendars.",95,"[263, 264, 209, 72, 4]"
374,97,Digital Marketing Analyst,3-5,Analyze marketing data to support decision-making.,"Track campaign performance, create reports, and recommend improvements.",47,"[284, 209, 55, 56, 4]"
375,98,Logistics Manager,5-7,Oversee logistics operations to ensure efficiency.,"Plan shipments, manage inventories, and coordinate with suppliers.",102,"[203, 4, 155, 204, 216]"
376,98,Warehouse Supervisor,2-4,Supervise warehouse activities and staff.,"Manage inventory, track shipments, and ensure compliance with safety standards.",96,"[279, 214, 4, 294, 261]"
377,98,Supply Chain Analyst,3-5,Analyze supply chain data and processes.,"Prepare reports, track performance metrics, and recommend process improvements.",68,"[14, 55, 4, 56, 297]"
378,99,Cybersecurity Analyst,3-5,Monitor and secure IT systems against cyber threats.,"Conduct audits, implement security measures, and monitor threats.",83,"[85, 66, 86, 56, 4]"
379,99,System Administrator,3-5,Maintain and monitor IT systems and networks.,"Ensure system security, troubleshoot issues, and optimize performance.",8,"[296, 172, 65, 247, 4]"
